"Player","Team","REC","YDS","TDS","FL","FPTS"
"Cethan Carter","CIN ","0.2","2.1","0.0","0.0","0.3"
"","high","0.2","2.4","0.0","0.0","0.6"
"","low","0.2","1.8","0.0","0.0","0.4"
"Niles Paul","WAS ","0.2","2.4","0.0","0.0","0.3"
"","high","0.3","2.8","0.0","0.0","0.6"
"","low","0.2","2.0","0.0","0.0","0.2"
"Nick Vannett","SEA ","0.3","2.5","0.0","0.0","0.3"
"","high","0.5","5.0","0.0","0.0","0.6"
"","low","0.1","1.1","0.0","0.0","0.2"
"Henry Krieger Coble","IND ","0.2","2.0","0.0","0.0","0.3"
"","high","0.3","4.1","0.0","0.0","0.6"
"","low","0.0","0.0","0.0","0.0","0.0"
"Xavier Grimble","PIT ","0.3","2.8","0.0","0.0","0.3"
"","high","0.3","3.0","0.0","0.0","0.5"
"","low","0.3","2.7","0.0","0.0","0.3"
"Jacob Hollister","NE ","0.2","2.1","0.0","0.0","0.3"
"","high","0.3","2.7","0.1","0.0","0.5"
"","low","0.1","1.1","0.0","0.0","0.3"
"MarQueis Gray","MIA ","0.2","2.4","0.0","0.0","0.3"
"","high","0.3","2.9","0.0","0.0","0.5"
"","low","0.2","1.9","0.0","0.0","0.3"
"Khari Lee","BUF ","0.2","2.4","0.0","0.0","0.3"
"","high","0.3","3.3","0.0","0.0","0.5"
"","low","0.2","1.8","0.0","0.0","0.2"
"Gavin Escobar","BAL ","0.1","1.7","0.0","0.0","0.3"
"","high","0.3","3.3","0.0","0.0","0.5"
"","low","0.0","0.0","0.0","0.0","0.0"
"Jeremy Sprinkle","WAS ","0.3","2.8","0.0","0.0","0.3"
"","high","0.3","2.8","0.0","0.0","0.3"
"","low","0.3","2.8","0.0","0.0","0.3"
"Ryan Hewitt","CIN ","0.2","2.5","0.0","0.0","0.3"
"","high","0.2","2.5","0.0","0.0","0.3"
"","low","0.2","2.5","0.0","0.0","0.3"
"Ross Travis","KC ","0.3","2.3","0.0","0.0","0.2"
"","high","0.4","4.2","0.0","0.0","1.0"
"","low","0.1","1.0","0.0","0.0","0.1"
"Sean McGrath","LAC ","0.2","2.0","0.0","0.0","0.2"
"","high","0.3","2.8","0.0","0.0","0.4"
"","low","0.1","1.3","0.0","0.0","0.2"
"Randall Telfer","CLE ","0.2","1.8","0.0","0.0","0.2"
"","high","0.3","2.5","0.0","0.0","0.4"
"","low","0.1","1.0","0.0","0.0","0.2"
"Luke Stocker","TB ","0.2","2.0","0.0","0.0","0.2"
"","high","0.3","3.1","0.0","0.0","0.4"
"","low","0.1","1.2","0.0","0.0","0.2"
"Trey Edmunds","NO ","0.2","1.8","0.0","0.0","0.2"
"","high","0.2","1.8","0.0","0.0","0.2"
"","low","0.2","1.8","0.0","0.0","0.2"
"Alan Cross","TB ","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0"
"Will Tye","NE ","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0"
"Chris Gragg","NYJ ","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0"
"Matt Lengel","CLE ","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0"
"Charles Clay","BUF ","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0"
""
""
