"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Tyrell Williams","LAC ","0.0","0.0","0.0","3.2","44.3","0.2","0.1","5.5"
"","high","0.0","0.0","0.0","3.5","50.3","0.3","0.0","10.2"
"","low","0.0","0.0","0.0","2.8","39.5","0.1","0.2","4.7"
"Kenny Golladay","DET ","0.0","0.0","0.0","3.0","37.6","0.3","0.0","5.4"
"","high","0.0","0.0","0.0","3.7","42.1","0.4","0.0","10.2"
"","low","0.0","0.0","0.0","2.0","30.0","0.2","0.0","4.0"
"Ted Ginn","NO ","0.7","3.9","0.0","2.9","40.6","0.3","0.1","5.9"
"","high","1.0","6.1","0.0","3.4","47.0","0.3","0.0","8.0"
"","low","0.1","0.7","0.0","2.3","34.6","0.2","0.1","5.2"
"Paul Richardson","SEA ","0.0","0.0","0.0","2.8","39.3","0.3","0.0","5.7"
"","high","0.0","0.0","0.0","3.2","42.8","0.4","0.0","8.7"
"","low","0.0","0.0","0.0","2.5","34.3","0.2","0.0","4.9"
"Donte Moncrief","IND ","0.1","0.5","0.0","3.3","40.6","0.2","0.0","5.5"
"","high","0.2","1.5","0.0","3.6","48.0","0.3","0.0","8.2"
"","low","0.0","0.0","0.0","2.8","35.8","0.2","0.0","4.8"
"Tyler Lockett","SEA ","0.2","1.3","0.0","3.1","39.8","0.2","0.0","5.4"
"","high","0.3","1.6","0.0","3.3","45.0","0.3","0.0","8.7"
"","low","0.1","1.0","0.0","2.8","36.6","0.1","0.0","4.3"
"JuJu Smith-Schuster","PIT ","0.0","0.0","0.0","2.8","37.8","0.3","0.0","5.4"
"","high","0.0","0.0","0.0","3.1","40.5","0.4","0.0","8.6"
"","low","0.0","0.0","0.0","2.2","33.1","0.2","0.0","4.5"
"Jordan Matthews","BUF ","0.0","0.0","0.0","2.8","37.6","0.2","0.0","5.2"
"","high","0.0","0.0","0.0","3.5","46.4","0.3","0.0","9.6"
"","low","0.0","0.0","0.0","2.5","33.0","0.2","0.0","4.6"
"Kenny Stills","MIA ","0.0","0.0","0.0","2.8","38.4","0.2","0.0","5.2"
"","high","0.0","0.0","0.0","3.4","45.6","0.4","0.0","8.0"
"","low","0.0","0.0","0.0","1.8","24.0","0.1","0.0","3.0"
"Willie Snead","NO ","0.0","0.0","0.0","3.0","38.6","0.2","0.1","5.1"
"","high","0.0","0.0","0.0","3.6","45.0","0.3","0.0","8.2"
"","low","0.0","0.0","0.0","2.0","26.4","0.2","0.1","4.3"
"Marquise Goodwin","SF ","0.0","0.3","0.0","2.7","39.6","0.2","0.0","5.0"
"","high","0.1","0.6","0.0","3.4","47.8","0.2","0.0","9.2"
"","low","0.0","0.0","0.0","2.1","27.3","0.1","0.0","3.9"
"Brandon LaFell","CIN ","0.0","0.0","0.0","2.8","34.2","0.3","0.0","5.0"
"","high","0.0","0.0","0.0","3.1","39.0","0.4","0.0","8.4"
"","low","0.0","0.0","0.0","2.4","27.6","0.1","0.0","3.6"
"Torrey Smith","PHI ","0.0","0.0","0.0","2.2","35.0","0.2","0.0","5.0"
"","high","0.0","0.0","0.0","2.5","39.0","0.3","0.0","7.5"
"","low","0.0","0.0","0.0","1.7","24.9","0.2","0.0","4.2"
"Bennie Fowler","DEN ","0.0","0.0","0.0","2.9","36.0","0.2","0.0","4.8"
"","high","0.0","0.0","0.0","3.7","46.2","0.3","0.0","9.6"
"","low","0.0","0.0","0.0","2.1","27.4","0.1","0.0","3.4"
"Emmanuel Sanders","DEN ","0.0","0.0","0.0","3.0","39.3","0.2","0.1","4.8"
"","high","0.0","0.0","0.0","3.5","45.9","0.2","0.1","5.8"
"","low","0.0","0.0","0.0","2.6","32.7","0.2","0.1","4.3"
"Cole Beasley","DAL ","0.0","0.0","0.0","3.3","35.8","0.2","0.1","4.7"
"","high","0.1","0.0","0.0","4.1","41.8","0.3","0.0","9.4"
"","low","0.0","0.0","0.0","2.6","32.1","0.1","0.1","3.9"
"Terrance Williams","DAL ","0.0","0.0","0.0","2.8","35.8","0.2","0.0","4.7"
"","high","0.0","0.0","0.0","3.6","45.1","0.2","0.0","8.5"
"","low","0.0","0.0","0.0","2.0","23.1","0.2","0.0","3.3"
"Mike Wallace","BAL ","0.1","0.7","0.0","2.5","34.8","0.2","0.0","4.6"
"","high","0.3","1.8","0.0","3.2","41.3","0.2","0.0","8.8"
"","low","0.0","0.0","0.0","2.0","30.0","0.1","0.0","3.9"
"Taylor Gabriel","ATL ","0.2","1.1","0.0","2.7","34.9","0.2","0.0","4.6"
"","high","0.3","1.6","0.0","3.1","40.7","0.2","0.0","8.5"
"","low","0.1","0.6","0.0","2.1","25.5","0.1","0.0","2.9"
"Josh Doctson","WAS ","0.0","0.0","0.0","2.2","32.6","0.2","0.0","4.6"
"","high","0.0","0.0","0.0","2.7","37.4","0.3","0.0","5.7"
"","low","0.0","0.0","0.0","1.4","19.3","0.1","0.0","4.1"
"Jamison Crowder","WAS ","0.2","0.4","0.0","3.3","36.5","0.2","0.2","4.5"
"","high","0.4","0.9","0.0","3.4","41.4","0.2","0.0","9.0"
"","low","0.0","0.0","0.0","3.0","30.5","0.1","0.3","3.7"
"Kendall Wright","CHI ","0.0","0.0","0.0","2.7","35.0","0.2","0.0","4.5"
"","high","0.0","0.0","0.0","3.4","41.5","0.2","0.0","8.6"
"","low","0.0","0.0","0.0","2.3","31.2","0.1","0.0","3.9"
"TJ Jones","DET ","0.0","0.0","0.0","2.6","33.4","0.2","0.0","4.5"
"","high","0.0","0.0","0.0","3.0","40.0","0.3","0.0","7.4"
"","low","0.0","0.0","0.0","2.3","27.4","0.1","0.0","3.3"
"Jeremy Kerley","NYJ ","0.0","0.0","0.0","3.1","33.6","0.2","0.1","4.4"
"","high","0.0","0.0","0.0","3.6","39.0","0.2","0.0","6.8"
"","low","0.0","0.0","0.0","2.4","30.4","0.1","0.1","4.4"
"Deonte Thompson","BUF ","0.0","0.1","0.0","2.0","29.1","0.2","0.0","4.1"
"","high","0.1","0.3","0.0","2.2","32.6","0.2","0.0","4.5"
"","low","0.0","0.0","0.0","1.9","24.0","0.2","0.0","3.4"
"Albert Wilson","KC ","0.3","1.7","0.0","2.3","27.1","0.2","0.0","4.0"
"","high","0.7","4.4","0.0","2.7","31.9","0.2","0.0","7.5"
"","low","0.0","0.0","0.0","1.8","22.8","0.1","0.0","3.1"
"Travis Benjamin","LAC ","0.0","0.4","0.0","2.1","30.6","0.2","0.1","4.0"
"","high","0.1","0.7","0.0","2.4","35.4","0.2","0.0","7.3"
"","low","0.0","0.0","0.0","1.6","24.3","0.1","0.1","3.5"
"Adam Humphries","TB ","0.0","0.0","0.0","3.1","31.6","0.2","0.1","4.0"
"","high","0.1","0.0","0.0","3.5","37.0","0.2","0.0","6.5"
"","low","0.0","0.0","0.0","2.6","24.5","0.1","0.1","3.4"
"Ricardo Louis","CLE ","0.0","0.0","0.0","3.0","33.9","0.1","0.0","3.9"
"","high","0.0","0.0","0.0","3.8","40.5","0.2","0.0","8.7"
"","low","0.0","0.0","0.0","2.1","21.7","0.0","0.0","2.2"
"Brandon Coleman","NO ","0.0","0.0","0.0","1.7","24.4","0.2","0.0","3.9"
"","high","0.0","0.0","0.0","2.1","29.0","0.3","0.0","4.8"
"","low","0.0","0.0","0.0","1.5","21.1","0.2","0.0","3.8"
"Zay Jones","BUF ","0.0","0.0","0.0","2.0","28.2","0.2","0.0","3.8"
"","high","0.0","0.1","0.0","2.8","40.0","0.3","0.0","6.5"
"","low","0.0","0.0","0.0","1.3","16.5","0.1","0.0","2.0"
"Seth Roberts","OAK ","0.0","0.0","0.0","2.1","25.2","0.2","0.0","3.6"
"","high","0.0","0.0","0.0","2.3","30.0","0.2","0.0","5.6"
"","low","0.0","0.0","0.0","2.0","19.4","0.1","0.0","2.6"
"Mike Williams","LAC ","0.0","0.0","0.0","1.9","25.4","0.2","0.0","3.5"
"","high","0.0","0.0","0.0","2.7","36.4","0.2","0.0","5.4"
"","low","0.0","0.0","0.0","1.0","15.7","0.1","0.0","2.5"
"Brice Butler","DAL ","0.0","0.0","0.0","1.6","25.8","0.2","0.0","3.5"
"","high","0.0","0.0","0.0","2.1","32.0","0.2","0.0","4.3"
"","low","0.0","0.0","0.0","1.2","16.5","0.1","0.0","3.2"
"Ryan Grant","WAS ","0.0","0.0","0.0","2.1","25.2","0.2","0.0","3.4"
"","high","0.0","0.0","0.0","2.4","31.2","0.2","0.0","6.7"
"","low","0.0","0.0","0.0","1.7","22.2","0.1","0.0","2.9"
"Demarcus Robinson","KC ","0.0","0.0","0.0","2.0","23.5","0.2","0.0","3.3"
"","high","0.0","0.0","0.0","2.5","30.0","0.2","0.0","4.1"
"","low","0.0","0.0","0.0","1.5","17.9","0.1","0.0","2.4"
"Kenny Britt","CLE ","0.0","0.0","0.0","1.9","24.4","0.1","0.0","3.1"
"","high","0.0","0.0","0.0","2.4","29.5","0.2","0.0","5.9"
"","low","0.0","0.0","0.0","0.9","11.0","0.0","0.0","1.4"
"Trent Taylor","SF ","0.0","0.2","0.0","2.5","24.1","0.1","0.1","3.0"
"","high","0.1","0.6","0.0","2.9","29.2","0.2","0.0","6.5"
"","low","0.0","0.0","0.0","2.0","19.8","0.0","0.2","2.1"
"Chris Moore","BAL ","0.0","0.0","0.0","1.8","20.6","0.1","0.0","2.9"
"","high","0.0","0.0","0.0","2.7","29.0","0.3","0.0","4.7"
"","low","0.0","0.0","0.0","0.2","4.2","0.0","0.0","0.5"
"Tre McBride","CHI ","0.0","0.0","0.0","1.5","20.2","0.1","0.0","2.8"
