"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"","high","4.0","14.3","0.1","1.7","12.8","0.2","0.0","4.6"
"","low","0.7","2.4","0.0","1.0","7.0","0.1","0.1","2.1"
"Devontae Booker","DEN ","2.8","11.6","0.0","1.7","16.6","0.0","0.1","3.1"
"","high","5.0","20.1","0.1","2.1","21.3","0.1","0.0","4.4"
"","low","1.7","6.9","0.0","1.4","13.0","0.0","0.1","2.7"
"Samaje Perine","WAS ","4.7","17.2","0.1","0.7","5.8","0.0","0.2","2.8"
"","high","8.2","30.0","0.2","0.9","8.6","0.1","0.1","4.6"
"","low","2.1","8.8","0.1","0.3","2.2","0.0","0.3","1.7"
"Jeremy Hill","CIN ","3.9","15.3","0.1","0.6","4.5","0.0","0.1","2.7"
"","high","5.0","19.9","0.2","0.8","6.5","0.0","0.0","4.6"
"","low","1.6","7.0","0.1","0.5","3.0","0.0","0.1","1.4"
"Alfred Morris","DAL ","3.2","14.0","0.1","0.6","4.6","0.0","0.1","2.5"
"","high","4.0","18.1","0.1","1.0","8.3","0.1","0.0","3.0"
"","low","2.6","12.0","0.1","0.3","2.0","0.0","0.1","1.8"
"Elijah McGuire","NYJ ","3.3","13.8","0.1","0.6","5.2","0.0","0.0","2.4"
"","high","5.0","21.4","0.2","1.2","10.3","0.0","0.0","5.3"
"","low","1.0","4.4","0.0","0.1","1.1","0.0","0.0","0.6"
"Charles Sims","TB ","1.5","5.2","0.0","1.8","13.6","0.1","0.1","2.2"
"","high","1.6","6.2","0.0","2.4","20.1","0.1","0.0","5.6"
"","low","1.2","4.8","0.0","1.1","9.1","0.0","0.2","1.4"
"Damien Williams","MIA ","2.2","8.0","0.0","1.4","10.1","0.0","0.1","1.9"
"","high","3.2","10.5","0.1","2.0","13.0","0.1","0.0","3.4"
"","low","1.5","6.0","0.0","1.0","8.0","0.0","0.1","1.4"
"J.D. McKissic","SEA ","1.6","6.6","0.0","1.1","9.3","0.0","0.0","1.9"
"","high","2.5","10.0","0.1","2.0","17.0","0.0","0.0","3.3"
"","low","1.1","4.8","0.0","0.5","5.0","0.0","0.0","1.3"
"Corey Clement","PHI ","2.8","11.3","0.1","0.4","3.1","0.0","0.1","1.9"
"","high","3.9","15.5","0.1","0.5","4.3","0.1","0.0","3.2"
"","low","1.7","7.0","0.1","0.2","1.9","0.0","0.1","1.6"
"Kyle Juszczyk","SF ","0.5","1.5","0.0","1.3","10.8","0.1","0.0","1.7"
"","high","0.8","2.4","0.0","2.1","16.1","0.2","0.0","4.5"
"","low","0.0","0.0","0.0","0.3","3.3","0.0","0.0","0.6"
"James Conner","PIT ","3.1","11.6","0.1","0.2","1.5","0.0","0.1","1.7"
"","high","3.7","14.0","0.1","0.6","4.4","0.0","0.0","2.4"
"","low","1.4","5.7","0.0","0.0","0.0","0.0","0.1","0.9"
